mapping, replan, sfc, mpc, df, 
0, 0.000259, 0.006111, 4.10157, 0.007315, 
0, 0.000241, 0.005519, 3.34741, 0.010037, 
0, 0.000278, 0.006667, 3.63239, 0.006723, 
0, 0.000204, 0.005444, 3.3777, 0.00663, 
5.82848, 0.000222, 0.005222, 3.6533, 0.006278, 
0, 0.000241, 0.007685, 3.83483, 0.006445, 
0, 0.000222, 0.005814, 3.56215, 0.006056, 
0, 0.000222, 0.005482, 3.53048, 0.006685, 
0, 0.000223, 0.005056, 3.51009, 0.006704, 
0, 0.000204, 0.005314, 4.15828, 0.009685, 
0, 0.000722, 0.008723, 3.7927, 0.006315, 
0, 0.000204, 0.010351, 4.16007, 0.006926, 
0, 0.000222, 0.005815, 3.96493, 0.00624, 
0, 0.000334, 0.006296, 3.60933, 0.018315, 
6.91245, 0.000223, 0.005075, 3.28117, 0.005611, 
0, 0.000203, 0.005185, 2.92361, 0.006667, 
0, 0.000204, 0.005648, 2.84924, 0.006667, 
0, 0.000222, 0.005667, 3.16813, 0.007629, 
0, 0.000204, 0.005315, 2.87993, 0.007333, 
0, 0.000278, 0.005926, 4.56611, 0.01013, 
0, 0.000241, 0.005797, 3.21991, 0.006982, 
0, 0.000222, 0.005481, 2.9333, 0.007204, 
0, 0.000241, 0.005167, 3.2828, 0.007389, 
0, 0.00026, 0.006388, 4.94624, 0.005963, 
6.34754, 0.000223, 0.005981, 3.44533, 0.006518, 
0, 0.000203, 0.005537, 2.91396, 0.007334, 
0, 0.000315, 0.00637, 4.40139, 0.006889, 
0, 0.000222, 0.005481, 3.63937, 0.006593, 
0, 0.000204, 0.005833, 2.93654, 0.007, 
0, 0.000297, 0.005537, 3.61574, 0.009667, 
0, 0.000204, 0.005425, 3.08872, 0.007981, 
0, 0.000241, 0.00576, 3.65596, 0.006167, 
0, 0.000222, 0.005908, 3.06519, 0.007907, 
0, 0.000222, 0.005296, 3.88839, 0.006315, 
7.67469, 0.000222, 0.00513, 3.78939, 0.006667, 
0, 0.000185, 0.005111, 3.651, 0.00637, 
0, 0.000259, 0.005463, 4.09781, 0.005981, 
0, 0.000222, 0.005111, 3.95722, 0.005889, 
0, 0.00026, 0.005667, 3.78485, 0.007185, 
0, 0.000203, 0.005666, 4.03124, 0.011981, 
0, 0.000315, 0.005167, 4.08572, 0.006667, 
0, 0.000222, 0.005778, 3.95335, 0.006963, 
0, 0.000352, 0.005334, 4.21489, 0.006463, 
0, 0.000204, 0.005722, 4.4798, 0.015722, 
0, 0.000204, 0.006612, 3.16135, 0.016889, 
9.68856, 0.000223, 0.005592, 2.83452, 0.007518, 
0, 0.000203, 0.005796, 2.86706, 0.006686, 
0, 0.000315, 0.005426, 2.65061, 0.006019, 
0, 0.000296, 0.005592, 2.77063, 0.006148, 
0, 0.000204, 0.005129, 2.79348, 0.006685, 
0, 0.000259, 0.006481, 3.01457, 0.006611, 
0, 0.00026, 0.005649, 3.13341, 0.007037, 
0, 0.000222, 0.004889, 2.71631, 0.006482, 
0, 0.000537, 0.013037, 4.61324, 0.013537, 
4.82728, 0.000259, 0.004963, 2.76537, 0.007204, 
0, 0.000203, 0.005685, 3.35585, 0.006667, 
0, 0.000185, 0.055815, 3.05248, 0.00774, 
0, 0.000185, 0.005296, 2.87298, 0.006685, 
0, 0.000185, 0.005408, 3.00689, 0.006871, 
0, 0.000203, 0.00526, 2.67709, 0.014203, 
0, 0.000537, 0.170926, 3.33193, 0.006611, 
0, 0.000204, 0.005463, 2.77537, 0.007037, 
0, 0.000482, 0.00563, 3.08822, 0.037945, 
0, 0.000222, 0.006148, 4.94195, 0.007833, 
7.54858, 0.000278, 0.009907, 3.5052, 0.006408, 
0, 0.000259, 0.005537, 3.03746, 0.006297, 
0, 0.000185, 0.005185, 3.31574, 0.006722, 
0, 0.000223, 0.00524, 3.17708, 0.005908, 
0, 0.000203, 0.00526, 3.45667, 0.006315, 
0, 0.000259, 0.005259, 3.31182, 0.008185, 
0, 0.000852, 0.01187, 3.63094, 0.0065, 
0, 0.000222, 0.005537, 3.38146, 0.006463, 
0, 0.000185, 0.005667, 3.54996, 0.006352, 
0, 0.000481, 0.010871, 3.76843, 0.006555, 
5.52591, 0.000241, 0.00574, 3.37346, 0.006463, 
0, 0.000222, 0.005592, 3.08989, 0.007019, 
0, 0.000222, 0.005334, 3.06513, 0.006389, 
0, 0.000241, 0.005537, 3.00045, 0.007, 
0, 0.000185, 0.005556, 3.38874, 0.006445, 
0, 0.000185, 0.005926, 3.13526, 0.009222, 
0, 0.000259, 0.005982, 4.41857, 0.00637, 
0, 0.000204, 0.005908, 3.08898, 0.00863, 
0, 0.000204, 0.006037, 3.43161, 0.010463, 
0, 0.000222, 0.005315, 3.01033, 0.010111, 
5.17131, 0.00024, 0.005426, 4.2367, 0.006019, 
0, 0.000203, 0.005389, 3.67096, 0.006834, 
0, 0.000204, 0.005556, 3.30563, 0.007519, 
0, 0.000185, 0.005407, 3.61406, 0.006, 
0, 0.000278, 0.005667, 3.16235, 0.007315, 
0, 0.000204, 0.005926, 3.59315, 0.008723, 
0, 0.000648, 0.011334, 3.40828, 0.016444, 
0, 0.000185, 0.005426, 6.50948, 0.006537, 
0, 0.000222, 0.005278, 11.6212, 0.005741, 
0, 0.000223, 0.005167, 4.58394, 0.006167, 
